# Frozen 2026-07-31. Do not tune dictionary costs or overlays against this file.
id	slice	reading	expected
g001	general	きょう	今日
g002	general	あした	明日
g003	general	きのう	昨日
g004	general	てんき	天気
g005	general	じかん	時間
g006	general	でんしゃ	電車
g007	general	がっこう	学校
g008	general	せんせい	先生
g009	general	がくせい	学生
g010	general	かぞく	家族
g011	general	りょうり	料理
g012	general	おんがく	音楽
g013	general	えいが	映画
g014	general	しんぶん	新聞
g015	general	としょかん	図書館
g016	general	びょういん	病院
g017	general	ぎんこう	銀行
g018	general	やくそく	約束
g019	general	けしき	景色
g020	general	きせつ	季節
g021	general	さくら	桜
g022	general	かんじ	漢字
g023	general	にほんご	日本語
g024	general	でんわ	電話
g025	general	しゃしん	写真
g026	general	きかいがあれば	機会があれば
g027	general	せっていをかえる	設定を変える
g028	general	きろくをのこす	記録を残す
g029	general	ほんをよむ	本を読む
g030	general	みずをのむ	水を飲む
i001	it	かんすう	関数
i002	it	へんすう	変数
i003	it	はいれつ	配列
i004	it	こうぞうたい	構造体
i005	it	ぽいんた	ポインタ
i006	it	すれっど	スレッド
i007	it	ぷろせす	プロセス
i008	it	でーたべーす	データベース
i009	it	あるごりずむ	アルゴリズム
i010	it	こんぱいら	コンパイラ
i011	it	でばっが	デバッガ
i012	it	りぽじとり	リポジトリ
i013	it	こみっと	コミット
i014	it	ぶらんち	ブランチ
i015	it	ぷるりくえすと	プルリクエスト
i016	it	こんてな	コンテナ
i017	it	かーねる	カーネル
i018	it	ぷろとこる	プロトコル
i019	it	あぷりけーしょん	アプリケーション
i020	it	せきゅりてぃ	セキュリティ
i021	it	にんしょう	認証
i022	it	あんごうか	暗号化
i023	it	じょうたいせんい	状態遷移
i024	it	いぞんせい	依存性
i025	it	たんたいてすと	単体テスト
i026	it	そーすこーど	ソースコード
i027	it	めもりりーく	メモリリーク
i028	it	れーすこんでぃしょん	レースコンディション
i029	it	ばーじょんかんり	バージョン管理
i030	it	けいぞくてきいんてぐれーしょん	継続的インテグレーション
