# Mozc top-1 baseline for corpus/held-out.tsv.
# Revision: 3f235b4eb6fcff7d14ef5f0fb8ee56de7ee4c732
id	mozc_top1
g001	今日
g002	明日
g003	昨日
g004	天気
g005	時間
g006	電車
g007	学校
g008	先生
g009	学生
g010	家族
g011	料理
g012	音楽
g013	映画
g014	新聞
g015	図書館
g016	病院
g017	銀行
g018	約束
g019	景色
g020	季節
g021	桜
g022	漢字
g023	日本語
g024	電話
g025	写真
g026	機会があれば
g027	設定を変える
g028	記録を残す
g029	本を読む
g030	水を飲む
i001	関数
i002	変数
i003	配列
i004	構造体
i005	ポインタ
i006	スレッド
i007	プロセス
i008	データベース
i009	アルゴリズム
i010	コンパイラ
i011	デバッガ
i012	リポジトリ
i013	コミット
i014	ブランチ
i015	プルリクエスト
i016	コンテナ
i017	カーネル
i018	プロトコル
i019	アプリケーション
i020	セキュリティ
i021	認証
i022	暗号化
i023	状態遷移
i024	依存性
i025	単体テスト
i026	ソースコード
i027	メモリリーク
i028	レースコンディション
i029	バージョン管理
i030	継続的インテグレーション
