# Cost experiments may inspect this split. Held-out rows must remain unopened while tuning.
id	slice	reading	expected
tg001	general	あさごはん	朝ご飯
tg002	general	ひるやすみ	昼休み
tg003	general	ゆうがた	夕方
tg004	general	かいもの	買い物
tg005	general	こうえん	公園
tg006	general	しゅくだい	宿題
tg007	general	てがみ	手紙
tg008	general	じてんしゃ	自転車
tg009	general	えきまえ	駅前
tg010	general	まどぐち	窓口
ti001	it	きゃっしゅ	キャッシュ
ti002	it	すたっく	スタック
ti003	it	きゅー	キュー
ti004	it	ろっく	ロック
ti005	it	たいむあうと	タイムアウト
ti006	it	でっどろっく	デッドロック
ti007	it	しりあらいず	シリアライズ
ti008	it	でぷろい	デプロイ
ti009	it	ろーるばっく	ロールバック
ti010	it	おぶざーばびりてぃ	オブザーバビリティ
