# license: LicenseRef-Sakura-InHouse
reading	surface	left_id	right_id	word_cost	prediction_cost	flags	annotation
あう	会う	813	813	2306	3506	predict	人と対面したり、約束した場所で顔を合わせたりすること。
あう	合う	1788	1788	0	1200	predict	二つ以上のものが一致すること、または互いに適すること。
あう	合う	813	813	1906	3106	predict	二つ以上のものが一致すること、または互いに適すること。
あう	遭う	813	813	3332	4532	predict	事故や災難など、好ましくない出来事を経験すること。
あく	開く	723	723	3168	4368	predict	閉じていたものが開いた状態になること。
あく	空く	723	723	3535	4735	predict	場所・時間・容器などに空きができること。
あける	開ける	680	680	3032	4232	predict	閉じている戸・容器・場所などを開くこと。
あげる	挙げる	680	680	3281	4481	predict	例・名前・成果などを取り上げて示すこと。
あける	空ける	680	680	4119	5319	predict	場所や時間を使わず、空いた状態にすること。
あげる	上げる	1106	1106	0	1200	predict	位置・程度・価格などを高くすること。
あげる	上げる	680	680	2521	3721	predict	位置・程度・価格などを高くすること。
あける	明ける	680	680	4322	5522	predict	夜や期間が終わり、次の時点を迎えること。
あげる	揚げる	680	680	3853	5053	predict	物を高く掲げること、または油で加熱調理すること。
あし	脚	1851	1851	4349	5549	predict	動物の胴体を支える部分、または家具などを支える部分。
あし	足	1851	1851	3875	5075	predict	人や動物が立ったり歩いたりするための下肢。
あたい	価	1851	1851	6116	-		物の値打ちや、数量として表される値。
あつい	厚い	2425	2425	3187	4387	predict	物の表裏の間隔が大きいこと。
あつい	熱い	2425	2425	2539	3739	predict	物の温度が高いこと、または感情が強く高ぶっていること。
あつめる	集める	680	680	2821	4021	predict	複数の人や物を一か所にまとめること。
あめ	飴	1851	1851	5155	6355	predict	砂糖などを煮詰めて作る甘い菓子。
あめ	雨	1851	1851	3785	4985	predict	大気中の水滴が地上へ降る現象。
あらう	洗う	813	813	2577	3777	predict	水や洗剤などを使って汚れを落とすこと。
あらわす	現す	837	837	4169	5369	predict	隠れていた姿・性質・感情などを外に見せること。
あらわす	著す	837	837	5620	6820	predict	書物を書いて世に出すこと。
あらわす	表す	837	837	2755	3955	predict	考え・意味・数量などを言葉や記号で示すこと。
あんしょう	暗唱	1841	1841	5988	7188	predict	文章や詩などを記憶し、見ないで唱えること。
いがい	遺骸	1851	1851	6481	-		死後に残された人や動物の体。
いかす	活かす	837	837	3166	4366	predict	能力・経験・特徴などを有効に使うこと。
いかす	生かす	837	837	3601	4801	predict	命を保たせること、または持ち味を役立てること。
いかん	遺憾	1931	1931	4787	5987	predict	期待どおりでなく、残念に思うこと。
いぎ	異議	1851	1851	5224	6424	predict	他者の意見や決定に対して述べる反対の意見。
いし	医師	1851	1851	3809	5009	predict	医療行為を行う資格を持つ専門職。
いし	医師	2040	2040	2514	3714	predict	医療行為を行う資格を持つ専門職。
いし	石	1851	1851	4301	5501	predict	岩石の小さな塊、または石材。
いし	石	1923	1923	4952	6152	predict	岩石の小さな塊、または石材。
いし	石	1949	1949	3427	4627	predict	岩石の小さな塊、または石材。
いじょう	以上	2161	2161	0	1200	predict	基準の数値を含んでそれより大きい範囲、または前に述べた内容。
いしょく	異色	1851	1851	5436	6636	predict	同種のものと比べて性質や特色が著しく異なること。
いしょく	異色	1931	1931	5300	6500	predict	同種のものと比べて性質や特色が著しく異なること。
いしょく	移植	1841	1841	4390	5590	predict	組織・臓器・植物・技術などを別の場所へ移して定着させること。
いせい	威勢	1851	1851	6116	-		人や物事から感じられる盛んな勢いや活気。
いたむ	痛む	837	837	3788	4988	predict	体に痛みを感じること、または心を苦しめること。
いためる	傷める	680	680	4432	5632	predict	物に傷を付けたり、品質を悪くしたりすること。
いためる	痛める	680	680	4289	5489	predict	体の一部を傷つけること、または心を苦しませること。
いためる	炒める	680	680	3429	4629	predict	食材を少量の油で加熱しながら混ぜて調理すること。
いっかん	一環	1851	1851	4541	5741	predict	全体を構成する、互いに関係した一部分。
いっかん	一貫	1841	1841	4135	5335	predict	始めから終わりまで方針や態度が変わらないこと。
いっかん	一貫	1922	1922	6519	-		始めから終わりまで方針や態度が変わらないこと。
いる	居る	681	681	1541	2741	predict	人や動物がその場所に存在すること。
いんかん	印鑑	1851	1851	4983	6183	predict	押印に用いる印章、または登録されたはんこ。
いんしょう	印章	1851	1851	6044	-		文字や図柄を彫り、押印に使う道具。
いんしょう	印象	1851	1851	3399	4599	predict	物事に接したとき心に残る感じや見え方。
いんしょう	印象	1922	1922	5498	6698	predict	物事に接したとき心に残る感じや見え方。
いんよう	陰陽	1851	1851	5622	6822	predict	相反しながら補い合う陰と陽の二つの性質。
