# license: LicenseRef-Sakura-InHouse
reading	surface	left_id	right_id	word_cost	prediction_cost	flags	annotation
あし	葦	1851	1851	6010	-		水辺に群生するイネ科の多年草。よし。
あたい	価	1841	1841	7300	-		物の値打ちや、数量として表される値。
あめ	飴	1923	1923	7100	-		砂糖などを煮詰めて作る甘い菓子。
あんしょう	暗礁	1851	1851	7600	-		水面下に隠れて航行の障害となる岩礁。また、物事の進行を妨げる障害。
いかん	如何	1851	1851	7600	-		物事の状態や成り行き、どのようであるかを表す語。
いがい	以外	1949	1949	7100	-		あるものを除いた残り。
いこう	以降	1909	1909	2462	3662	predict	ある時点を含め、それより後の範囲。
いこう	以降	1949	1949	7100	-		ある時点を含め、それより後の範囲。
いこう	以降	2165	2165	0	1200	predict	ある時点を含め、それより後の範囲。
いこう	威光	1851	1851	7600	-		人を恐れ従わせるほどの権威や勢力。
いこう	意向	1851	1851	7600	-		どうしたいかという考えや希望。
いこう	遺稿	1851	1851	7600	-		故人が生前に書き残した未発表または未刊行の原稿。
いし	意思	1851	1851	7600	-		何かをしようとする考えや気持ち。
いし	遺志	1851	1851	7600	-		故人が生前に抱いていた意志や望み。
いじょう	以上	2011	2011	6900	-		基準の数値を含んでそれより大きい範囲、または前に述べた内容。
いっかん	一貫	1921	1921	7100	-		始めから終わりまで方針や態度が変わらないこと。
いんよう	陰陽	1924	1924	7100	-		相反しながら補い合う陰と陽の二つの性質。
えいこう	栄光	1921	1921	7100	-		優れた成果によって得られる名誉や輝かしい評価。
えんせん	厭戦	1851	1851	7600	-		戦争を嫌い、戦い続けることを避けたいと思うこと。
おうえん	黄鉛	1851	1851	7600	-		クロム酸鉛を主成分とする黄色顔料。クロムイエロー。
おうか	桜花	1921	1921	7100	-		桜の花。
おうきゅう	王宮	1851	1851	5536	6736	predict	王や王族が住み、政務を行う宮殿。
おうこう	往航	1841	1841	7300	-		船舶や航空機が出発地から目的地へ向かう運航。
おうぼ	王母	1851	1851	7600	-		王の母。または王族の母。
かいきゅう	階級	2011	2011	6900	-		地位・身分・程度などによって分けた段階。
かいけつ	怪傑	1851	1851	7600	-		常人離れした能力を持ち、痛快な活躍をする人物。
かいこう	開口	1923	1923	7100	-		口や穴を開くこと、または開いている部分。
かいさい	快哉	1851	1851	7600	-		物事が思いどおりになった喜びを表す語。
かいせい	快晴	1851	1851	5343	6543	predict	雲がほとんどなく、よく晴れた天気。
かいせい	改製	1841	1841	7300	-		既存のものを作り改めること。
かいせい	海星	1920	1920	7200	-		海にすむ棘皮動物のヒトデ。
かいせん	海戦	1841	1841	5536	6736	predict	海上で艦船などが行う戦闘。
かいせん	海戦	1851	1851	7600	-		海上で艦船などが行う戦闘。
かいそう	階層	2011	2011	6900	-		上下関係を持つ複数の段階からなる構造。
かいちょう	海鳥	1851	1851	7600	-		海上や海岸を主な生活場所とする鳥。
かいてん	回転	2011	2011	6900	-		物が軸や中心の周りを回ること。
かいほう	快方	1851	1851	7600	-		病気やけがの状態がよくなること。
かく	核	1851	1851	7600	-		物事の中心となる部分。また、原子核や核兵器の略。
かく	格	1923	1923	7100	-		身分・程度・文法上の関係などを表す区分。
かく	角	2011	2011	6900	-		二つの線や面が交わってできる部分、またはその開き。
かくち	確知	1841	1841	7300	-		物事を確実に知ること。
かくめい	革命	1851	1851	7600	-		政治や社会の体制を根本から急激に変えること。
かげ	影	1924	1924	7100	-		光を遮った物の形が面に映ったもの、または姿の反映。
かた	型	1851	1851	7600	-		同じ形を作るための原型、または定まった様式。
かた	形	1851	1851	7600	-		物の外見や姿、まとまりとして現れた状態。
かた	方	1923	1923	7100	-		方向・方法・人を敬って指す語などに用いる表記。
かちょう	花鳥	1924	1924	7100	-		花と鳥、または自然の美しい風物。
かてい	家庭	1851	1851	7600	-		家族が共同で生活する場や生活単位。
かてい	課程	1851	1851	7600	-		学習や訓練で定められた一連の内容と順序。
かね	鐘	1923	1923	7100	-		打ち鳴らして音を出す金属製の器具。
かわ	河	1923	1923	4930	6130	predict	川。特に大きな川を表す語。
かんき	歓喜	1924	1924	7100	-		非常に喜ぶこと。
かんこう	観光	1924	1924	7100	-		名所や景観などを見て回ること。
かんし	看視	1841	1841	7300	-		悪いことが起こらないよう注意して見守ること。
かんしん	歓心	1851	1851	7600	-		相手が喜び満足する気持ち。
かんせい	官製	1851	1851	7600	-		政府や官庁が作ること、または主導して作られたもの。
かんせつ	関節	1851	1851	4262	5462	predict	骨と骨がつながり、体を動かせる部分。
かんせつ	関節	2011	2011	6900	-		骨と骨がつながり、体を動かせる部分。
かんたい	寒帯	1851	1851	7600	-		年間を通して気温が低い気候帯。
かんち	官地	1924	1924	7100	-		国または官公庁が所有する土地。
かんぱん	甲板	1851	1851	5621	6821	predict	船の船体上部に張られた平らな床。
かんゆう	官有	1851	1851	7600	-		国や官公庁が所有していること。
きか	貴下	1851	1851	7600	-		同等または目下の相手を敬って呼ぶ書面語。
きかい	機会	1851	1851	7600	-		何かをするのに適した時や場。
きかい	機械	1851	1851	7600	-		動力で動き、一定の仕事をする装置。
きかく	規格	1841	1841	4204	5404	predict	製品・技術などについて寸法・品質・方式を統一するための定め。
きかく	規格	1851	1851	7600	-		製品・技術などについて寸法・品質・方式を統一するための定め。
きかん	期間	1851	1851	7600	-		開始から終了まで続く時間の幅。
きかん	期間	1878	1878	0	1200	predict	開始から終了まで続く時間の幅。
きかん	機関	1851	1851	7600	-		特定の目的を持つ組織、または動力を生む装置。
きかん	気管	1851	1851	7600	-		喉頭から肺へ空気を通す管。
きけい	貴兄	1851	1851	7600	-		同輩または目上に近い男性を親しみと敬意を込めて呼ぶ語。
きげん	起源	1841	1841	7300	-		物事が最初に生じた由来や始まり。
