# license: LicenseRef-Sakura-InHouse
# Entry-only rows accepted after review. Definitions and typed relations are supplied by the pinned LLM-detail release.
reading	surface	left_id	right_id	word_cost	prediction_cost	flags	annotation
いそがばまわれ	急がば回れ	1851	1851	7600	2147483647		
かえるのこはかえる	蛙の子は蛙	1851	1851	7600	2147483647		
がしんしょうたん	臥薪嘗胆	1851	1851	7600	2147483647		
がりょうてんせい	画竜点睛	1851	1851	7600	2147483647		
けいろく	鶏肋	1851	1851	7600	2147483647		
ごえつどうしゅう	呉越同舟	1851	1851	7600	2147483647		
さんこのれい	三顧の礼	1851	1851	7600	2147483647		
しゅしゅ	守株	1851	1851	7600	2147483647		
ちょうさんぼし	朝三暮四	1851	1851	7600	2147483647		
とうだいもとくらし	灯台下暗し	1851	1851	7600	2147483647		
にとをおうものはいっとをもえず	二兎を追う者は一兎をも得ず	1851	1851	7600	2147483647		
ふんだりけったり	踏んだり蹴ったり	1851	1851	7600	2147483647		
ようとうくにく	羊頭狗肉	1851	1851	7600	2147483647		
りゅうとうだび	竜頭蛇尾	1851	1851	7600	2147483647		
