# license: LicenseRef-Sakura-InHouse
# LLM-authored research candidates accepted only when semantic_status=ready and absent from the canonical 14-category dictionary.
reading	surface	left_id	right_id	word_cost	prediction_cost	flags	annotation
あいにくたいおういたしかねます	あいにく対応いたしかねます	1851	1851	7600	2147483647		事情により相手の依頼へ対応できないことを、直接的な拒絶を避けて丁重に伝える表現。
いかがいたしましょうか	いかがいたしましょうか	1851	1851	7600	2147483647		自分側がどのように対応すべきか、相手に判断や希望を尋ねる丁重な表現。
いかがでしょうか	いかがでしょうか	1851	1851	7600	2147483647		提案・状態・感想などについて、相手の評価や意向を丁寧に尋ねる表現。
いつでもおもうしつけください	いつでもお申し付けください	1851	1851	7600	2147483647		必要なことがあれば時期を問わず自分側に依頼してほしいと丁寧に申し出る表現。対応可能な範囲を前提として用いる。
いつもありがとうございます	いつもありがとうございます	1851	1851	7600	2147483647		継続的な協力や利用などに対する日頃の感謝を、相手に丁寧に伝える表現。
いつもおせわになっております	いつもお世話になっております	1851	1851	7600	2147483647		継続的な関係にある相手へ、日頃の支援に対する感謝を強めて伝える挨拶表現。
おそれいりますが	おそれいりますが	1851	1851	7600	2147483647		相手に依頼や質問などを切り出す前に、負担をかけることへの恐縮を示す前置き。
おっしゃいます	おっしゃいます	1851	1851	7600	2147483647		「言う」の尊敬語「おっしゃる」を丁寧語の形にし、相手や立てるべき第三者の発言を丁寧に表す。
おっしゃるとおりです	おっしゃるとおりです	1851	1851	7600	2147483647		相手の発言内容が正しいと認め、同意を丁寧に示す表現。
おこしいただきありがとうございます	お越しいただきありがとうございます	1851	1851	7600	2147483647		相手がわざわざ来訪したことへの感謝を、丁寧に伝える表現。
おこしいただけますでしょうか	お越しいただけますでしょうか	1851	1851	7600	2147483647		相手に指定場所まで来てもらえるか、丁寧に依頼または打診する表現。
おこしになる	お越しになる	1851	1851	7600	2147483647		「来る」「訪れる」の尊敬表現で、相手や立てるべき第三者がこちら側などへ来ることを高めて表す。
おあいできることをたのしみにしております	お会いできることを楽しみにしております	1851	1851	7600	2147483647		今後会う予定の相手に、面会を期待している気持ちを丁寧に伝える表現。
おまちがいないでしょうか	お間違いないでしょうか	1851	1851	7600	2147483647		内容や認識に誤りがないかを、相手に丁寧に確認する表現。
おかえりください	お帰りください	1851	1851	7600	2147483647		相手に帰るよう伝える尊敬表現。場面によっては退去を求める強い意味にもなるため、用件に応じた配慮が必要。
おかえりになる	お帰りになる	1851	1851	7600	2147483647		「帰る」の尊敬表現で、相手や立てるべき第三者が帰ることを高めて表す。
おきづきのてんはございますか	お気づきの点はございますか	1851	1851	7600	2147483647		誤りや改善点など、相手が気づいた事項があるかを丁寧に尋ねる表現。
おきをつけておこしください	お気をつけてお越しください	1851	1851	7600	2147483647		来訪予定の相手に、道中の安全を気遣いながら来てもらうよう伝える表現。
おきがるにおといあわせください	お気軽にお問い合わせください	1851	1851	7600	2147483647		不明点などがあれば気兼ねなく問い合わせてほしいと丁寧に促す表現。顧客向け案内やサポート窓口でよく用いる。
おきづかいありがとうございます	お気遣いありがとうございます	1851	1851	7600	2147483647		相手が自分を気遣ってくれたことへの感謝を、丁寧に伝える表現。
おむかえにまいります	お迎えに参ります	1851	1851	7600	2147483647		相手を迎えるために自分側がその場所へ行くことを、丁重に伝える表現。
おこまりのさいはおしらせください	お困りの際はお知らせください	1851	1851	7600	2147483647		困ったことが起きたときには知らせてほしいと相手に丁寧に伝える表現。サポートやフォローを申し出る場面に適する。
おつかいになる	お使いになる	1851	1851	7600	2147483647		「使う」の尊敬表現で、相手や立てるべき第三者が使用することを高めて表す。
おじかんのあるさいにごかくにんください	お時間のある際にご確認ください	1851	1851	7600	2147483647		急ぎでない確認を、相手に時間の余裕があるときに行ってほしいと伝える表現。
おじかんをいただきありがとうございました	お時間をいただきありがとうございました	1851	1851	7600	2147483647		相手が自分側のために時間を割いてくれたことへ丁寧に感謝する表現。面談や説明の後などに用いる。
おてすうですがごかくにんください	お手数ですがご確認ください	1851	1851	7600	2147483647		確認の手間をかけることに配慮しつつ、相手に確認を依頼する表現。
おてすうをおかけしました	お手数をおかけしました	1851	1851	7600	2147483647		自分側の事情によって相手に余分な作業や手間をかけたことを、丁寧にわびる表現。
おてすうをおかけします	お手数をおかけします	1851	1851	7600	2147483647		相手に作業や確認を依頼する際、その手間への恐縮を示す表現。
おこころづかいありがとうございます	お心遣いありがとうございます	1851	1851	7600	2147483647		相手の思いやりや好意ある配慮に対する感謝を、丁寧に伝える表現。
おせわになっております	お世話になっております	1851	1851	7600	2147483647		継続的な関係にある取引先や関係者への挨拶として、日頃の支援や関係への謝意を示す定型表現。
おおくりいただけますでしょうか	お送りいただけますでしょうか	1851	1851	7600	2147483647		資料やデータ、品物などを送ってもらえるか、相手に丁寧に依頼する表現。
おまたせしました	お待たせしました	1851	1851	7600	2147483647		相手を待たせたことへの謝意や恐縮を込めて、対応を再開するときに用いる表現。
おまちいただきありがとうございます	お待ちいただきありがとうございます	1851	1851	7600	2147483647		相手が待ってくれたことに感謝し、待機への負担を気遣う表現。
おまちしております	お待ちしております	1851	1851	7600	2147483647		相手の来訪・返信・行動などを待っていることを、丁重に伝える表現。
おまちになる	お待ちになる	1851	1851	7600	2147483647		「待つ」の尊敬表現で、相手や立てるべき第三者が待つことを高めて表す。
おことわりせざるをえません	お断りせざるを得ません	1851	1851	7600	2147483647		事情上、相手の申し出を受け入れられず断るほかないことを、丁寧に伝える表現。
おしらせいたします	お知らせいたします	1851	1851	7600	2147483647		情報や決定事項などを自分から相手へ知らせることを、丁重に伝える表現。
おしらせいただきたすかりました	お知らせいただき助かりました	1851	1851	7600	2147483647		必要な情報を知らせてもらったことで助かったと相手に感謝を伝える丁寧な表現。実務的なやり取りに向く。
おしらせいただけますでしょうか	お知らせいただけますでしょうか	1851	1851	7600	2147483647		情報や結果などを知らせてもらえるか、相手に丁寧に依頼する表現。
およみになる	お読みになる	1851	1851	7600	2147483647		「読む」の尊敬表現で、相手や立てるべき第三者が読むことを高めて表す。
おとどけします	お届けします	1851	1851	7600	2147483647		「お届けする」を丁寧語の形にし、自分側から相手へ物や情報などを届けることを丁寧に伝える。
おとどけする	お届けする	1851	1851	7600	2147483647		「届ける」の謙譲表現で、自分側から相手側へ物や情報などを届ける行為について、その相手を立てて表す。
おつかれさまでございます	お疲れさまでございます	1851	1851	7600	2147483647		「お疲れさまです」をさらに改まった丁寧さで述べる表現。職場内の挨拶として用いられるが、場面によっては過度に形式的に響く。
おつかれさまです	お疲れさまです	1851	1851	7600	2147483647		同僚や社内関係者などに、仕事へのねぎらいや挨拶として用いる表現。上下関係や組織文化によって使い方が異なる。
おたずねいたします	お訪ねいたします	1851	1851	7600	2147483647		自分が相手の場所を訪問することを、相手に丁重に伝える表現。
おいそがしいところきょうしゅくですが	お忙しいところ恐縮ですが	1851	1851	7600	2147483647		忙しい相手に依頼や質問を切り出す際、時間を取らせることへの恐縮を示す前置き。
おいそがしいなかありがとうございました	お忙しい中ありがとうございました	1851	1851	7600	2147483647		忙しい中で時間や労力を割いてくれた相手に感謝を伝える表現。面談や対応の後などに用いる。
おめにかかります	お目にかかります	1851	1851	7600	2147483647		「お目にかかる」を丁寧語の形にし、自分が相手に会うことを改まって伝える。
おめどおしいただけますでしょうか	お目通しいただけますでしょうか	1851	1851	7600	2147483647		文書や資料に一通り目を通してもらえるか、目上の相手などに丁寧に依頼する表現。
おやくにたてればさいわいです	お役に立てれば幸いです	1851	1851	7600	2147483647		提供した情報や支援が相手の役に立つことを願う丁寧な表現。助言や資料を渡した後の結びなどに用いる。
おあずかりします	お預かりします	1851	1851	7600	2147483647		「お預かりする」を丁寧語の形にし、相手側の物などを一時的に受け取り保管することを丁寧に伝える。
