# license: MIT
reading	surface	left_id	right_id	word_cost	prediction_cost	flags	annotation
#app	#APP_FILES#	1851	1851	7305	7605	it,predict	
#app_files#	#APP_FILES#	1851	1851	7185	7485	it,predict	
$lookup	$lookup	1851	1851	7045	7345	it,predict	
'use	'use client'	1851	1851	7340	7640	it,predict	
'use	'use server'	1851	1851	7340	7640	it,predict	
'useclient'	'use client'	1851	1851	7340	7640	it,predict	
'useserver'	'use server'	1851	1851	7340	7640	it,predict	
-moz-	-moz-	1851	1851	7095	7395	it,predict	
-webkit-	-webkit-	1851	1851	7200	7500	it,predict	
.bashrc	.bashrc	1851	1851	7165	7465	it,predict	
.d.ts	.d.ts	1851	1851	7095	7395	it,predict	
.env	.env file	1851	1851	7235	7535	it,predict	
.envfile	.env file	1851	1851	7235	7535	it,predict	
.gitattributes	.gitattributes	1851	1851	7290	7590	it,predict	
.gitconfig	.gitconfig	1851	1851	7270	7570	it,predict	
.github	.github/CODEOWNERS	1851	1851	7550	7850	it,predict	
.github/codeowners	.github/CODEOWNERS	1851	1851	7550	7850	it,predict	
.gitignore	.gitignore	1851	1851	7150	7450	it,predict	
.gitkeep	.gitkeep	1851	1851	7080	7380	it,predict	
.net	.NET	1851	1851	6940	7240	it,predict	
.net	.NET Desktop Workload	1851	1851	7620	7920	it,predict	
.net	.NET Platform	1851	1851	7375	7675	it,predict	
.net	.NET SDK	1851	1851	7200	7500	it,predict	
.netdesktopworkload	.NET Desktop Workload	1851	1851	7500	7800	it,predict	
.netplatform	.NET Platform	1851	1851	7255	7555	it,predict	
.netsdk	.NET SDK	1851	1851	7080	7380	it,predict	
.profile	.profile	1851	1851	7200	7500	it,predict	
.sln	.sln file	1851	1851	7235	7535	it,predict	
.slnfile	.sln file	1851	1851	7115	7415	it,predict	
.spec	.spec	1851	1851	7095	7395	it,predict	
.src.rpm	.src.rpm	1851	1851	7200	7500	it,predict	
.suo	.suo file	1851	1851	7235	7535	it,predict	
.suofile	.suo file	1851	1851	7115	7415	it,predict	
.vscode	.vscode folder	1851	1851	7410	7710	it,predict	
.vscodefolder	.vscode folder	1851	1851	7290	7590	it,predict	
///<reference>	/// <reference>	1851	1851	7445	7745	it,predict	
/boot	/boot	1851	1851	6975	7275	it,predict	
/dev	/dev	1851	1851	6940	7240	it,predict	
/etc	/etc	1851	1851	6940	7240	it,predict	
/etc/fstab	/etc/fstab	1851	1851	7150	7450	it,predict	
/etc/group	/etc/group	1851	1851	7150	7450	it,predict	
/etc/passwd	/etc/passwd	1851	1851	7185	7485	it,predict	
/etc/shadow	/etc/shadow	1851	1851	7185	7485	it,predict	
/etc/ssh/sshd_config	/etc/ssh/sshd_config	1851	1851	7620	7920	it,predict	
/home	/home	1851	1851	6975	7275	it,predict	
/opt	/opt	1851	1851	6940	7240	it,predict	
/proc	/proc	1851	1851	6975	7275	it,predict	
/run	/run	1851	1851	6940	7240	it,predict	
/sys	/sys	1851	1851	6940	7240	it,predict	
/tmp	/tmp	1851	1851	6940	7240	it,predict	
/usr	/usr	1851	1851	6940	7240	it,predict	
/var	/var	1851	1851	6940	7240	it,predict	
/var/log	/var/log	1851	1851	7080	7380	it,predict	
0-day	0-day	1851	1851	7095	7395	it,predict	
0day	0-day	1851	1851	7095	7395	it,predict	
103earlyhints	103 Early Hints	1851	1851	7445	7745	it,predict	
12-factor	12-Factor App	1851	1851	7375	7675	it,predict	
12-factorapp	12-Factor App	1851	1851	7255	7555	it,predict	
12factorapp	12-Factor App	1851	1851	7375	7675	it,predict	
1on1	1on1	1851	1851	6940	7240	it,predict	
2.4ghz	2.4GHz Wi-Fi	1851	1851	7340	7640	it,predict	
2.4ghzwi-fi	2.4GHz Wi-Fi	1851	1851	7340	7640	it,predict	
24ghzwifi	2.4GHz Wi-Fi	1851	1851	7340	7640	it,predict	
3-way	3-way handshake	1851	1851	7445	7745	it,predict	
3-wayhandshake	3-way handshake	1851	1851	7445	7745	it,predict	
304notmodified	304 Not Modified	1851	1851	7360	7660	it,predict	
3c	3C Analysis	1851	1851	7305	7605	it,predict	
3canalysis	3C Analysis	1851	1851	7305	7605	it,predict	
3wayhandshake	3-way handshake	1851	1851	7445	7745	it,predict	
4c	4C Analysis	1851	1851	7305	7605	it,predict	
4canalysis	4C Analysis	1851	1851	7305	7605	it,predict	
4p	4P Analysis	1851	1851	7305	7605	it,predict	
4panalysis	4P Analysis	1851	1851	7305	7605	it,predict	
5f	5F Analysis	1851	1851	7305	7605	it,predict	
5fanalysis	5F Analysis	1851	1851	7305	7605	it,predict	
5forcesanalysis	5 Forces Analysis	1851	1851	7515	7815	it,predict	
5g	5G	1851	1851	6990	7290	it,predict	
5g	5G IoT	1851	1851	7130	7430	it,predict	
5giot	5G IoT	1851	1851	7010	7310	it,predict	
::-webkit-scrollbar	::-webkit-scrollbar	1851	1851	7585	7885	it,predict	
::highlight	::highlight	1851	1851	7305	7605	it,predict	
::selection	::selection	1851	1851	7305	7605	it,predict	
:has()	:has()	1851	1851	7130	7430	it,predict	
:is()	:is()	1851	1851	7095	7395	it,predict	
:is()	:is() pseudo-class	1851	1851	7550	7850	it,predict	
