surface	reading
お越しください	おこしください
ご覧ください	ごらんください
のち	のち
クリック	くりっく
コンパイル	こんぱいる
プリコネクト	ぷりこねくと
メモ	めも
リセット	りせっと
一蓮托生	いちれんたくしょう
七転び八起き	ななころびやおき
三顧の礼	さんこのれい
中止	ちゅうし
中身	なかみ
了承	りょうしょう
了解	りょうかい
事情	じじょう
事象	じしょう
事項	じこう
二兎を追う者は一兎をも得ず	にとをおうものはいっとをもえず
交換	こうかん
以外	いがい
以心伝心	いしんでんしん
以降	いこう
休止	きゅうし
会話	かいわ
体制	たいせい
体勢	たいせい
作製	さくせい
使用	しよう
供給	きょうきゅう
依頼	いらい
保留	ほりゅう
保管	ほかん
保証	ほしょう
保障	ほしょう
個所	かしょ
傷害	しょうがい
八方塞がり	はっぽうふさがり
公表	こうひょう
公開	こうかい
内容	ないよう
刊行	かんこう
制作	せいさく
制限	せいげん
刷新	さっしん
匂い	におい
協議	きょうぎ
受け取り	うけとり
受取	うけとり
受理	じゅり
同意	どうい
呉越同舟	ごえつどうしゅう
告知	こくち
命令	めいれい
器械	きかい
四面楚歌	しめんそか
回答	かいとう
場所	ばしょ
塞翁が馬	さいおうがうま
変更	へんこう
変更点	へんこうてん
大器晩成	たいきばんせい
失策	しっさく
始め	はじめ
委託	いたく
姿勢	しせい
季節	きせつ
守株	しゅしゅ
完了	かんりょう
完成	かんせい
完璧	かんぺき
実証	じっしょう
審査	しんさ
審議	しんぎ
対戦	たいせん
対照	たいしょう
対称	たいしょう
対話	たいわ
延期	えんき
弁明	べんめい
引用	いんよう
形式	けいしき
応答	おうとう
忠告	ちゅうこく
快諾	かいだく
急がば回れ	いそがばまわれ
意外	いがい
意気投合	いきとうごう
意義	いぎ
意見	いけん
感想	かんそう
態度	たいど
態様	たいよう
所感	しょかん
手段	しゅだん
批判	ひはん
批評	ひひょう
承知	しょうち
拒否	きょひ
拒絶	きょぜつ
拝承	はいしょう
指南	しなん
指導	しどう
指示	しじ
捜査	そうさ
探索	たんさく
推敲	すいこう
掲示	けいじ
提供	ていきょう
提言	ていげん
摘要	てきよう
支給	しきゅう
改定	かいてい
改良	かいりょう
改訂	かいてい
故障	こしょう
方向	ほうこう
方法	ほうほう
日程	にってい
旧跡	きゅうせき
明らか	あきらか
時刻	じこく
時季	じき
時期	じき
時点	じてん
時節	じせつ
朝三暮四	ちょうさんぼし
期間	きかん
期限	きげん
杞憂	きゆう
査定	さてい
根拠	こんきょ
案内	あんない
検査	けんさ
概念	がいねん
様子	ようす
標記	ひょうき
標題	ひょうだい
模様	もよう
機会	きかい
機械	きかい
水準	すいじゅん
温故知新	おんこちしん
灯台下暗し	とうだいもとくらし
点検	てんけん
照合	しょうごう
犬猿の仲	けんえんのなか
状況	じょうきょう
用語	ようご
画竜点睛	がりょうてんせい
異常	いじょう
異状	いじょう
疑問	ぎもん
発声	はっせい
発行	はっこう
発表	はっぴょう
発言	はつげん
発送	はっそう
発音	はつおん
登竜門	とうりゅうもん
白眉	はくび
監督	かんとく
着手	ちゃくしゅ
瞬間	しゅんかん
矛盾	むじゅん
破天荒	はてんこう
移動	いどう
立証	りっしょう
竜頭蛇尾	りゅうとうだび
箇所	かしょ
管理	かんり
範囲	はんい
精神	せいしん
納得	なっとく
紹介	しょうかい
終わり	おわり
終了	しゅうりょう
給付	きゅうふ
続行	ぞっこう
維持	いじ
置換	ちかん
羊頭狗肉	ようとうくにく
背水の陣	はいすいのじん
臥薪嘗胆	がしんしょうたん
薫り	かおり
蛇足	だそく
蛙の子は蛙	かえるのこはかえる
表記	ひょうき
表題	ひょうだい
補償	ほしょう
製作	せいさく
要綱	ようこう
規制	きせい
規定	きてい
規格	きかく
観察	かんさつ
観測	かんそく
解析	かいせき
解説	かいせつ
解釈	かいしゃく
討論	とうろん
記入	きにゅう
記載	きさい
記述	きじゅつ
設置	せっち
許可	きょか
許諾	きょだく
証拠	しょうこ
証明	しょうめい
詳細	しょうさい
認知	にんち
認識	にんしき
語句	ごく
説明	せつめい
調査	ちょうさ
謝絶	しゃぜつ
議論	ぎろん
資料	しりょう
賠償	ばいしょう
跡地	あとち
踏んだり蹴ったり	ふんだりけったり
輸送	ゆそう
辞退	じたい
返答	へんとう
運搬	うんぱん
運送	うんそう
過ち	あやまち
適用	てきよう
部位	ぶい
部分	ぶぶん
配布	はいふ
配置	はいち
配送	はいそう
開始	かいし
間違い	まちがい
限界	げんかい
音読	おんどく
頒布	はんぷ
領分	りょうぶん
領域	りょういき
題名	だいめい
香り	かおり
鶏肋	けいろく
