surface	reading	status	reason
クリック	くりっく	approved	
メモ	めも	approved	
リセット	りせっと	approved	
間違い	まちがい	approved	
コンパイル	こんぱいる	approved	
プリコネクト	ぷりこねくと	approved	
以外	いがい	approved	
以降	いこう	approved	
機会	きかい	approved	
機械	きかい	approved	
期間	きかん	approved	
使用	しよう	approved	
状況	じょうきょう	approved	
のち	のち	approved	
詳細	しょうさい	approved	
時期	じき	approved	
紹介	しょうかい	approved	
瞬間	しゅんかん	approved	
明らか	あきらか	approved	
提供	ていきょう	approved	
管理	かんり	approved	
方法	ほうほう	approved	
異常	いじょう	approved	
変更	へんこう	approved	
疑問	ぎもん	approved	
内容	ないよう	approved	
説明	せつめい	approved	
完璧	かんぺき	approved	
場所	ばしょ	approved	
部分	ぶぶん	approved	
公開	こうかい	approved	
解説	かいせつ	approved	
交換	こうかん	approved	
発表	はっぴょう	approved	
意外	いがい	approved	
開始	かいし	approved	
調査	ちょうさ	approved	
終了	しゅうりょう	approved	
移動	いどう	approved	
規定	きてい	approved	
設置	せっち	approved	
記載	きさい	approved	
意見	いけん	approved	
範囲	はんい	approved	
了承	りょうしょう	approved	
案内	あんない	approved	
回答	かいとう	approved	
指導	しどう	approved	
検査	けんさ	approved	
制作	せいさく	approved	
監督	かんとく	held	definition omits the person or role sense
依頼	いらい	approved	
完成	かんせい	approved	
制限	せいげん	approved	
発送	はっそう	approved	
様子	ようす	approved	
維持	いじ	approved	
適用	てきよう	approved	
完了	かんりょう	approved	
認識	にんしき	approved	
保証	ほしょう	approved	
証明	しょうめい	approved	
会話	かいわ	approved	
同意	どうい	approved	
配置	はいち	approved	
保管	ほかん	approved	
資料	しりょう	approved	
許可	きょか	approved	
方向	ほうこう	approved	
始め	はじめ	held	definition does not cover the beginning sense clearly
審査	しんさ	approved	
発行	はっこう	approved	
感想	かんそう	approved	
時点	じてん	approved	
精神	せいしん	approved	
季節	きせつ	approved	
事項	じこう	approved	
製作	せいさく	approved	
体制	たいせい	approved	
配送	はいそう	approved	
指示	しじ	approved	
納得	なっとく	approved	
姿勢	しせい	approved	
観察	かんさつ	approved	
