# schema_version: 1
# mozc_revision: 3f235b4eb6fcff7d14ef5f0fb8ee56de7ee4c732
# review_scope: every reading/surface pair whose selected Mozc rows would otherwise all be non-initial
# evidence_source: BCCWJ frequency lists v1.0 (NINJAL)
# allow_rule: exact short-unit evidence, or >=1000 conservative long-unit endings for readings of 2+ kana, plus the reported 済 form
reading	surface	decision	evidence
がい	買い	retain-non-initial	reviewed-no-common-boundary-evidence
がいしゃ	会社	allow-initial	bccwj-long-ending-ge-1000
がえし	返し	allow-initial	bccwj-short-exact
がお	顔	allow-initial	bccwj-long-ending-ge-1000
がかっ	掛かっ	retain-non-initial	reviewed-no-common-boundary-evidence
がから	掛から	retain-non-initial	reviewed-no-common-boundary-evidence
がかり	係	allow-initial	bccwj-long-ending-ge-1000
がかり	掛かり	allow-initial	bccwj-short-exact
がかりゃ	掛かりゃ	retain-non-initial	reviewed-no-common-boundary-evidence
がかる	掛かる	retain-non-initial	reviewed-no-common-boundary-evidence
がかれ	掛かれ	retain-non-initial	reviewed-no-common-boundary-evidence
がかろ	掛かろ	retain-non-initial	reviewed-no-common-boundary-evidence
がかん	掛かん	retain-non-initial	reviewed-no-common-boundary-evidence
がき	書き	allow-initial	bccwj-long-ending-ge-1000
がさね	重ね	retain-non-initial	reviewed-no-common-boundary-evidence
がたな	刀	retain-non-initial	reviewed-no-common-boundary-evidence
がため	固め	retain-non-initial	reviewed-no-common-boundary-evidence
がたり	語り	retain-non-initial	reviewed-no-common-boundary-evidence
がね	金	allow-initial	bccwj-long-ending-ge-1000
がまえ	構え	retain-non-initial	reviewed-no-common-boundary-evidence
がめ	瓶	retain-non-initial	reviewed-no-common-boundary-evidence
がよい	通い	retain-non-initial	reviewed-no-common-boundary-evidence
がらみ	絡み	allow-initial	bccwj-short-exact
がり	刈り	allow-initial	bccwj-short-exact
がり	狩り	retain-non-initial	reviewed-no-common-boundary-evidence
がわ	川	allow-initial	bccwj-long-ending-ge-1000
がわ	皮	retain-non-initial	reviewed-no-common-boundary-evidence
がわり	代り	retain-non-initial	reviewed-no-common-boundary-evidence
がわり	代わり	retain-non-initial	reviewed-no-common-boundary-evidence
がわり	変り	retain-non-initial	reviewed-no-common-boundary-evidence
がわり	変わり	retain-non-initial	reviewed-no-common-boundary-evidence
がわり	換わり	retain-non-initial	reviewed-no-common-boundary-evidence
がわり	替り	retain-non-initial	reviewed-no-common-boundary-evidence
がわり	替わり	retain-non-initial	reviewed-no-common-boundary-evidence
ぎ	着	allow-initial	bccwj-short-exact
ぎこえ	聞こえ	retain-non-initial	reviewed-no-common-boundary-evidence
ぎらい	嫌い	retain-non-initial	reviewed-no-common-boundary-evidence
ぎり	切り	allow-initial	bccwj-long-ending-ge-1000
ぎり	斬り	retain-non-initial	reviewed-no-common-boundary-evidence
ぎれになっ	切れになっ	retain-non-initial	reviewed-no-common-boundary-evidence
ぎわ	際	allow-initial	bccwj-long-ending-ge-1000
ぐい	食い	retain-non-initial	reviewed-no-common-boundary-evidence
ぐすり	薬	allow-initial	bccwj-long-ending-ge-1000
ぐち	口	allow-initial	bccwj-long-ending-ge-1000
ぐみ	組	allow-initial	bccwj-long-ending-ge-1000
ぐらし	暮らし	allow-initial	bccwj-long-ending-ge-1000
ぐるしみ	苦しみ	retain-non-initial	reviewed-no-common-boundary-evidence
ぐれえ	黒え	retain-non-initial	reviewed-no-common-boundary-evidence
ぐろぅ	黒ぅ	retain-non-initial	reviewed-no-common-boundary-evidence
ぐろかろ	黒かろ	retain-non-initial	reviewed-no-common-boundary-evidence
ごい	乞い	retain-non-initial	reviewed-no-common-boundary-evidence
ごえ	声	allow-initial	bccwj-long-ending-ge-1000
ごえ	超え	retain-non-initial	reviewed-no-common-boundary-evidence
ごく	国	allow-initial	bccwj-long-ending-ge-1000
ごころ	心	allow-initial	bccwj-long-ending-ge-1000
ごしらえ	拵え	retain-non-initial	reviewed-no-common-boundary-evidence
ごたえ	応え	retain-non-initial	reviewed-no-common-boundary-evidence
ごのみ	好み	retain-non-initial	reviewed-no-common-boundary-evidence
ごろ	頃	allow-initial	bccwj-long-ending-ge-1000
ごろし	殺し	allow-initial	bccwj-long-ending-ge-1000
ざかり	盛り	retain-non-initial	reviewed-no-common-boundary-evidence
じかけ	仕掛け	retain-non-initial	reviewed-no-common-boundary-evidence
じし	獅子	retain-non-initial	reviewed-no-common-boundary-evidence
じたく	支度	retain-non-initial	reviewed-no-common-boundary-evidence
じたて	仕立て	retain-non-initial	reviewed-no-common-boundary-evidence
じに	死に	retain-non-initial	reviewed-no-common-boundary-evidence
じまい	仕舞い	allow-initial	bccwj-short-exact
じょ	所	allow-initial	bccwj-long-ending-ge-1000
じる	汁	allow-initial	bccwj-long-ending-ge-1000
じるし	印	allow-initial	bccwj-long-ending-ge-1000
ずええ	強え	retain-non-initial	reviewed-no-common-boundary-evidence
ずかい	使い	retain-non-initial	reviewed-no-common-boundary-evidence
ずかい	遣い	retain-non-initial	reviewed-no-common-boundary-evidence
ずかれ	疲れ	retain-non-initial	reviewed-no-common-boundary-evidence
ずき	好き	allow-initial	bccwj-long-ending-ge-1000
ずくし	尽くし	retain-non-initial	reviewed-no-common-boundary-evidence
ずくり	作り	retain-non-initial	reviewed-no-common-boundary-evidence
ずくり	造り	retain-non-initial	reviewed-no-common-boundary-evidence
ずたい	伝い	retain-non-initial	reviewed-no-common-boundary-evidence
ずまい	住まい	retain-non-initial	reviewed-no-common-boundary-evidence
ずみ	住み	retain-non-initial	reviewed-no-common-boundary-evidence
ずみ	済	allow-initial	user-reported-common-form
ずみ	済み	allow-initial	bccwj-short-exact
ずみ	積み	retain-non-initial	reviewed-no-common-boundary-evidence
ずみそう	済みそう	retain-non-initial	reviewed-no-common-boundary-evidence
ずめ	詰め	retain-non-initial	reviewed-no-common-boundary-evidence
ずよぅ	強ぅ	retain-non-initial	reviewed-no-common-boundary-evidence
ずよきゃ	強きゃ	retain-non-initial	reviewed-no-common-boundary-evidence
ずよくっ	強くっ	retain-non-initial	reviewed-no-common-boundary-evidence
ずら	辛	retain-non-initial	reviewed-no-common-boundary-evidence
ずらい	辛い	retain-non-initial	reviewed-no-common-boundary-evidence
ずらかっ	辛かっ	retain-non-initial	reviewed-no-common-boundary-evidence
ずらから	辛から	retain-non-initial	reviewed-no-common-boundary-evidence
ずらかれ	辛かれ	retain-non-initial	reviewed-no-common-boundary-evidence
ずらかろ	辛かろ	retain-non-initial	reviewed-no-common-boundary-evidence
ずらき	辛き	retain-non-initial	reviewed-no-common-boundary-evidence
ずらきゃ	辛きゃ	retain-non-initial	reviewed-no-common-boundary-evidence
ずらく	辛く	retain-non-initial	reviewed-no-common-boundary-evidence
ずらくっ	辛くっ	retain-non-initial	reviewed-no-common-boundary-evidence
ずらけりゃ	辛けりゃ	retain-non-initial	reviewed-no-common-boundary-evidence
ずらけれ	辛けれ	retain-non-initial	reviewed-no-common-boundary-evidence
ずり	刷り	retain-non-initial	reviewed-no-common-boundary-evidence
ずり	釣り	retain-non-initial	reviewed-no-common-boundary-evidence
ずれ	連れ	retain-non-initial	reviewed-no-common-boundary-evidence
ずれえ	辛え	retain-non-initial	reviewed-no-common-boundary-evidence
ずろう	辛う	retain-non-initial	reviewed-no-common-boundary-evidence
ぞい	沿い	allow-initial	bccwj-long-ending-ge-1000
ぞめ	染め	retain-non-initial	reviewed-no-common-boundary-evidence
ぞろい	揃い	retain-non-initial	reviewed-no-common-boundary-evidence
ぞろえ	揃え	retain-non-initial	reviewed-no-common-boundary-evidence
ぞん	損	retain-non-initial	reviewed-no-common-boundary-evidence
だかから	高から	retain-non-initial	reviewed-no-common-boundary-evidence
だくさん	沢山	retain-non-initial	reviewed-no-common-boundary-evidence
だけえ	高え	retain-non-initial	reviewed-no-common-boundary-evidence
だこ	凧	retain-non-initial	reviewed-no-common-boundary-evidence
だこぅ	高ぅ	retain-non-initial	reviewed-no-common-boundary-evidence
だこう	高う	retain-non-initial	reviewed-no-common-boundary-evidence
だち	断ち	retain-non-initial	reviewed-no-common-boundary-evidence
だち	立ち	allow-initial	bccwj-short-exact
だて	建て	allow-initial	bccwj-short-exact
だのみ	頼み	retain-non-initial	reviewed-no-common-boundary-evidence
だま	玉	allow-initial	bccwj-long-ending-ge-1000
だま	球	retain-non-initial	reviewed-no-common-boundary-evidence
だましい	魂	retain-non-initial	reviewed-no-common-boundary-evidence
だまり	溜まり	retain-non-initial	reviewed-no-common-boundary-evidence
だめ	溜め	retain-non-initial	reviewed-no-common-boundary-evidence
だれ	垂れ	retain-non-initial	reviewed-no-common-boundary-evidence
づええ	強え	retain-non-initial	reviewed-no-common-boundary-evidence
づかい	使い	retain-non-initial	reviewed-no-common-boundary-evidence
づかい	遣い	allow-initial	bccwj-long-ending-ge-1000
づかれ	疲れ	retain-non-initial	reviewed-no-common-boundary-evidence
づくし	尽くし	allow-initial	bccwj-short-exact
づくり	作り	allow-initial	bccwj-long-ending-ge-1000
づくり	造り	retain-non-initial	reviewed-no-common-boundary-evidence
づけにし	漬けにし	retain-non-initial	reviewed-no-common-boundary-evidence
づたい	伝い	retain-non-initial	reviewed-no-common-boundary-evidence
づみ	積み	retain-non-initial	reviewed-no-common-boundary-evidence
づめ	詰め	allow-initial	bccwj-short-exact
づよきゃ	強きゃ	retain-non-initial	reviewed-no-common-boundary-evidence
づら	辛	retain-non-initial	reviewed-no-common-boundary-evidence
づらい	辛い	allow-initial	bccwj-short-exact
づらかっ	辛かっ	retain-non-initial	reviewed-no-common-boundary-evidence
づらから	辛から	retain-non-initial	reviewed-no-common-boundary-evidence
づらかれ	辛かれ	retain-non-initial	reviewed-no-common-boundary-evidence
づらかろ	辛かろ	retain-non-initial	reviewed-no-common-boundary-evidence
づらき	辛き	retain-non-initial	reviewed-no-common-boundary-evidence
づらきゃ	辛きゃ	retain-non-initial	reviewed-no-common-boundary-evidence
づらく	辛く	retain-non-initial	reviewed-no-common-boundary-evidence
づらくっ	辛くっ	retain-non-initial	reviewed-no-common-boundary-evidence
づらけりゃ	辛けりゃ	retain-non-initial	reviewed-no-common-boundary-evidence
づらけれ	辛けれ	retain-non-initial	reviewed-no-common-boundary-evidence
づり	釣り	retain-non-initial	reviewed-no-common-boundary-evidence
づれ	連れ	allow-initial	bccwj-short-exact
づれえ	辛え	retain-non-initial	reviewed-no-common-boundary-evidence
づろう	辛う	retain-non-initial	reviewed-no-common-boundary-evidence
どええ	遠え	retain-non-initial	reviewed-no-common-boundary-evidence
どおぅ	遠ぅ	retain-non-initial	reviewed-no-common-boundary-evidence
どおきゃ	遠きゃ	retain-non-initial	reviewed-no-common-boundary-evidence
どおくっ	遠くっ	retain-non-initial	reviewed-no-common-boundary-evidence
どおし	通し	retain-non-initial	reviewed-no-common-boundary-evidence
どおり	通	retain-non-initial	reviewed-no-common-boundary-evidence
どく	得	retain-non-initial	reviewed-no-common-boundary-evidence
どの	殿	allow-initial	bccwj-short-exact
どまり	止まり	retain-non-initial	reviewed-no-common-boundary-evidence
どり	撮り	retain-non-initial	reviewed-no-common-boundary-evidence
どりにいか	取りにいか	retain-non-initial	reviewed-no-common-boundary-evidence
どりにいか	取りに行か	retain-non-initial	reviewed-no-common-boundary-evidence
どりにいき	取りにいき	retain-non-initial	reviewed-no-common-boundary-evidence
どりにいき	取りに行き	retain-non-initial	reviewed-no-common-boundary-evidence
どりにいく	取りにいく	retain-non-initial	reviewed-no-common-boundary-evidence
どりにいく	取りに行く	retain-non-initial	reviewed-no-common-boundary-evidence
どりにいけ	取りにいけ	retain-non-initial	reviewed-no-common-boundary-evidence
どりにいけ	取りに行け	retain-non-initial	reviewed-no-common-boundary-evidence
どりにいける	取りにいける	retain-non-initial	reviewed-no-common-boundary-evidence
どりにいける	取りに行ける	retain-non-initial	reviewed-no-common-boundary-evidence
どりにいこ	取りにいこ	retain-non-initial	reviewed-no-common-boundary-evidence
どりにいっ	取りにいっ	retain-non-initial	reviewed-no-common-boundary-evidence
