status	reading	surface	reason
excluded	えんせい	衛生	explicitly_excluded_in_submitted_list
excluded	えんせい	遠征	explicitly_excluded_in_submitted_list
excluded	きょういく	教育	explicitly_excluded_in_submitted_list
excluded	けいか	経過	explicitly_excluded_in_submitted_list
excluded	けいか	軽過	explicitly_excluded_in_submitted_list
excluded	けんえつ	倹約	explicitly_excluded_in_submitted_list
excluded	けんえつ	検閲	explicitly_excluded_in_submitted_list
excluded	こうつう	貫通	explicitly_excluded_in_submitted_list
excluded	こうつう	交通	explicitly_excluded_in_submitted_list
excluded	こうほ	候補	explicitly_excluded_in_submitted_list
excluded	こうほ	公募	explicitly_excluded_in_submitted_list
excluded	さいせい	歳星	explicitly_excluded_in_submitted_list
excluded	さいよう	採葉	explicitly_excluded_in_submitted_list
excluded	しゅうり	修理	explicitly_excluded_in_submitted_list
excluded	しょうけん	証券	explicitly_excluded_in_submitted_list
excluded	しょうけん	証憑	explicitly_excluded_in_submitted_list
excluded	しょうひ	消火	explicitly_excluded_in_submitted_list
excluded	しょうひ	消費	explicitly_excluded_in_submitted_list
excluded	しょうほう	商法	explicitly_excluded_in_submitted_list
excluded	しょうほう	療法	explicitly_excluded_in_submitted_list
excluded	せいりつ	成立	explicitly_excluded_in_submitted_list
excluded	せいりつ	声律	explicitly_excluded_in_submitted_list
excluded	そうし	創始	explicitly_excluded_in_submitted_list
excluded	そうし	喪失	explicitly_excluded_in_submitted_list
excluded	ていしゅつ	貞淑	explicitly_excluded_in_submitted_list
excluded	ていしゅつ	提出	explicitly_excluded_in_submitted_list
excluded	とうけい	刀圭	explicitly_excluded_in_submitted_list
excluded	はいし	廃止	explicitly_excluded_in_submitted_list
excluded	はいし	配置	explicitly_excluded_in_submitted_list
excluded	ひこう	比較	explicitly_excluded_in_submitted_list
excluded	ほうしん	方針	explicitly_excluded_in_submitted_list
excluded	ほうしん	芳心	explicitly_excluded_in_submitted_list
excluded	ほうどう	邦道	explicitly_excluded_in_submitted_list
excluded	りゅうこう	流行	explicitly_excluded_in_submitted_list
held	あつめる	蒐める	candidate_absent_from_current_dictionary
held	あらう	荒う	candidate_absent_from_current_dictionary
held	あんしょう	暗礁	candidate_absent_from_current_dictionary
held	あんない	按内	candidate_absent_from_current_dictionary
held	いかん	如何	candidate_absent_from_current_dictionary
held	いこう	威光	candidate_absent_from_current_dictionary
held	いこう	遺稿	candidate_absent_from_current_dictionary
held	いし	遺志	candidate_absent_from_current_dictionary
held	いんかん	印環	candidate_absent_from_current_dictionary
held	えんせん	厭戦	candidate_absent_from_current_dictionary
held	おうえん	黄鉛	candidate_absent_from_current_dictionary
held	おうこう	往航	candidate_absent_from_current_dictionary
held	おうせつ	王雪	candidate_absent_from_current_dictionary
held	おうぼ	王母	candidate_absent_from_current_dictionary
held	おんせい	音勢	candidate_absent_from_current_dictionary
held	かいかく	貝殻	candidate_absent_from_current_dictionary
held	かいきゅう	怪球	candidate_absent_from_current_dictionary
held	かいけい	会系	candidate_absent_from_current_dictionary
held	かいけつ	怪傑	candidate_absent_from_current_dictionary
held	かいご	会合	candidate_absent_from_current_dictionary
held	かいさい	快哉	candidate_absent_from_current_dictionary
held	かいせい	改製	candidate_absent_from_current_dictionary
held	かいちょう	海鳥	candidate_absent_from_current_dictionary
held	かいほう	快方	candidate_absent_from_current_dictionary
held	かく	核	candidate_absent_from_current_dictionary
held	かく	掻く	candidate_absent_from_current_dictionary
held	かくち	確知	candidate_absent_from_current_dictionary
held	かくてい	廓亭	candidate_absent_from_current_dictionary
held	かくほ	各歩	candidate_absent_from_current_dictionary
held	かくめい	各名	candidate_absent_from_current_dictionary
held	かせい	苛性	candidate_absent_from_current_dictionary
held	かた	形	candidate_absent_from_current_dictionary
held	かんけい	官警	candidate_absent_from_current_dictionary
held	かんげん	甘言	candidate_absent_from_current_dictionary
held	かんし	看視	candidate_absent_from_current_dictionary
held	かんしん	歓心	candidate_absent_from_current_dictionary
held	かんせい	官製	candidate_absent_from_current_dictionary
held	かんぜん	寒禅	candidate_absent_from_current_dictionary
held	かんたい	寒帯	candidate_absent_from_current_dictionary
held	かんち	官地	candidate_absent_from_current_dictionary
held	かんぱん	看板	candidate_absent_from_current_dictionary
held	かんばん	艦板	candidate_absent_from_current_dictionary
held	かんゆう	官有	candidate_absent_from_current_dictionary
held	きか	貴下	candidate_absent_from_current_dictionary
held	きかん	気管	candidate_absent_from_current_dictionary
held	きけい	貴兄	candidate_absent_from_current_dictionary
held	きこう	奇行	candidate_absent_from_current_dictionary
held	きせい	気勢	candidate_absent_from_current_dictionary
held	きせつ	気節	candidate_absent_from_current_dictionary
held	きせん	帰線	candidate_absent_from_current_dictionary
held	きゅうせき	急斥	candidate_absent_from_current_dictionary
held	きょうじ	教授	candidate_absent_from_current_dictionary
held	きょうし	狂詩	candidate_absent_from_current_dictionary
held	きょうせつ	教説	candidate_absent_from_current_dictionary
held	きょうせつ	夾雪	candidate_absent_from_current_dictionary
held	きょうふ	教父	candidate_absent_from_current_dictionary
held	きんか	菌化	candidate_absent_from_current_dictionary
held	きんこう	近交	candidate_absent_from_current_dictionary
held	きんちょう	謹聴	candidate_absent_from_current_dictionary
held	くうき	空器	candidate_absent_from_current_dictionary
held	くうこう	空孔	candidate_absent_from_current_dictionary
held	けいえい	形影	candidate_absent_from_current_dictionary
held	けいかく	繋革	candidate_absent_from_current_dictionary
held	けいせい	警世	candidate_absent_from_current_dictionary
held	けいせつ	蛍雪	candidate_absent_from_current_dictionary
held	けいせつ	警節	candidate_absent_from_current_dictionary
held	けいせん	京扇	candidate_absent_from_current_dictionary
held	けいひ	軽費	candidate_absent_from_current_dictionary
held	けってい	結締	candidate_absent_from_current_dictionary
held	げんか	現価	candidate_absent_from_current_dictionary
held	けんかい	県会	candidate_absent_from_current_dictionary
held	げんき	原器	candidate_absent_from_current_dictionary
held	けんきゅう	兼久	candidate_absent_from_current_dictionary
held	けんこう	建工	candidate_absent_from_current_dictionary
held	げんせい	減税	candidate_absent_from_current_dictionary
held	けんせつ	健節	candidate_absent_from_current_dictionary
held	げんてい	原定	candidate_absent_from_current_dictionary
held	けんり	県理	candidate_absent_from_current_dictionary
held	げんり	厳利	candidate_absent_from_current_dictionary
held	こうか	硬貨	candidate_absent_from_current_dictionary
held	こうき	好機	candidate_absent_from_current_dictionary
held	こうき	綱紀	candidate_absent_from_current_dictionary
held	こうき	香気	candidate_absent_from_current_dictionary
held	こうきゅう	講究	candidate_absent_from_current_dictionary
held	こうし	公私	candidate_absent_from_current_dictionary
held	こうじ	公示	candidate_absent_from_current_dictionary
held	こうじ	麹	candidate_absent_from_current_dictionary
held	こうしょう	工廠	candidate_absent_from_current_dictionary
held	こうしょう	鉱床	candidate_absent_from_current_dictionary
held	こうせい	恒星	candidate_absent_from_current_dictionary
held	こうせい	攻勢	candidate_absent_from_current_dictionary
held	こうせい	更正	candidate_absent_from_current_dictionary
held	こうせつ	高説	candidate_absent_from_current_dictionary
held	こうてん	光点	candidate_absent_from_current_dictionary
held	こうへい	工兵	candidate_absent_from_current_dictionary
held	こうよう	効用	candidate_absent_from_current_dictionary
held	こる	懲る	candidate_absent_from_current_dictionary
held	さいき	才気	candidate_absent_from_current_dictionary
held	さいけん	再検	candidate_absent_from_current_dictionary
held	さいせい	再製	candidate_absent_from_current_dictionary
held	さいばん	歳晩	candidate_absent_from_current_dictionary
held	さいよう	作用	candidate_absent_from_current_dictionary
held	さんせき	参席	candidate_absent_from_current_dictionary
held	しあい	試愛	candidate_absent_from_current_dictionary
held	しえん	紫煙	candidate_absent_from_current_dictionary
held	しき	士気	candidate_absent_from_current_dictionary
held	しせい	死生	candidate_absent_from_current_dictionary
held	しゃかい	赦戒	candidate_absent_from_current_dictionary
held	しゅうこう	周航	candidate_absent_from_current_dictionary
held	しゅうごう	秋毫	candidate_absent_from_current_dictionary
held	しゅうせん	周旋	candidate_absent_from_current_dictionary
held	しゅうとう	秋冬	candidate_absent_from_current_dictionary
held	しゅけん	酒券	candidate_absent_from_current_dictionary
held	しゅだん	主壇	candidate_absent_from_current_dictionary
held	しょうき	勝機	candidate_absent_from_current_dictionary
held	しょうき	商機	candidate_absent_from_current_dictionary
held	じょうけん	上件	candidate_absent_from_current_dictionary
held	しょうご	称号	candidate_absent_from_current_dictionary
held	しょうこう	症候	candidate_absent_from_current_dictionary
held	しょうし	笑止	candidate_absent_from_current_dictionary
held	しょうし	証紙	candidate_absent_from_current_dictionary
held	じょうしょう	上将	candidate_absent_from_current_dictionary
held	しょうそう	肖像	candidate_absent_from_current_dictionary
held	しょうそく	小束	candidate_absent_from_current_dictionary
held	しょうどう	商道	candidate_absent_from_current_dictionary
held	じょうほう	城砲	candidate_absent_from_current_dictionary
held	しんけい	新系	candidate_absent_from_current_dictionary
held	しんち	深知	candidate_absent_from_current_dictionary
held	しんらい	新来	candidate_absent_from_current_dictionary
held	せいか	生花	candidate_absent_from_current_dictionary
held	せいかつ	正割	candidate_absent_from_current_dictionary
held	せいき	生気	candidate_absent_from_current_dictionary
held	せいけん	正拳	candidate_absent_from_current_dictionary
held	せいこう	精工	candidate_absent_from_current_dictionary
held	せいこう	製鋼	candidate_absent_from_current_dictionary
held	せいじ	整地	candidate_absent_from_current_dictionary
held	せいし	生死	candidate_absent_from_current_dictionary
held	せいし	製紙	candidate_absent_from_current_dictionary
held	せいしき	整式	candidate_absent_from_current_dictionary
held	せいしん	西進	candidate_absent_from_current_dictionary
held	せいせい	清々	candidate_absent_from_current_dictionary
held	せいはい	成敗	candidate_absent_from_current_dictionary
held	せいふ	征夫	candidate_absent_from_current_dictionary
held	せいふく	制伏	candidate_absent_from_current_dictionary
held	せんもん	泉門	candidate_absent_from_current_dictionary
held	そうか	そうか	candidate_absent_from_current_dictionary
held	そうか	総価	candidate_absent_from_current_dictionary
held	そうこう	草稿	candidate_absent_from_current_dictionary
held	そうせい	双生	candidate_absent_from_current_dictionary
held	そうとう	争闘	candidate_absent_from_current_dictionary
held	そくど	足度	candidate_absent_from_current_dictionary
held	たいき	大器	candidate_absent_from_current_dictionary
held	たつ	発つ	candidate_absent_from_current_dictionary
held	たんい	単衣	candidate_absent_from_current_dictionary
held	たんき	単記	candidate_absent_from_current_dictionary
held	たんじゅん	単巡	candidate_absent_from_current_dictionary
held	ちか	地価	candidate_absent_from_current_dictionary
held	ちょうか	長歌	candidate_absent_from_current_dictionary
held	ちょうき	弔旗	candidate_absent_from_current_dictionary
held	ちょうこう	彫工	candidate_absent_from_current_dictionary
held	ちょうり	町吏	candidate_absent_from_current_dictionary
held	ていこう	提稿	candidate_absent_from_current_dictionary
held	とうこう	投光	candidate_absent_from_current_dictionary
held	とうせん	当線	candidate_absent_from_current_dictionary
held	とうちゃく	倒着	candidate_absent_from_current_dictionary
held	ないか	内貨	candidate_absent_from_current_dictionary
held	にんしき	任式	candidate_absent_from_current_dictionary
held	はいち	廃置	candidate_absent_from_current_dictionary
held	はいとう	廃刀	candidate_absent_from_current_dictionary
held	はんか	反価	candidate_absent_from_current_dictionary
held	ふか	孵化	candidate_absent_from_current_dictionary
held	ふくせい	復姓	candidate_absent_from_current_dictionary
held	ふせい	府政	candidate_absent_from_current_dictionary
held	ふっこう	復航	candidate_absent_from_current_dictionary
held	へいせい	兵制	candidate_absent_from_current_dictionary
held	へんしゅう	編修	candidate_absent_from_current_dictionary
held	ほうしゅう	豊州	candidate_absent_from_current_dictionary
held	ほうせい	砲声	candidate_absent_from_current_dictionary
held	ほうどう	砲道	candidate_absent_from_current_dictionary
held	ほうほう	方々	candidate_absent_from_current_dictionary
held	まんき	慢気	candidate_absent_from_current_dictionary
held	めいちゅう	銘鋳	candidate_absent_from_current_dictionary
held	やぶる	敗る	candidate_absent_from_current_dictionary
